zone,score,rank,incident_count
Thamel,100,1,21
Chabahil,96.9231,2,39
Kirtipur,95.8074,3,257
Koteshwor,95.5471,4,361
Bouddha,94.5968,5,434
Kalimati,93.6047,6,129
Gongabu,93.0682,7,44
Balaju,91.9655,8,145
Patan,91.0897,9,117
New Baneshwor,89.25,10,20
