zone,score,rank,incident_count
Bouddha,100,1,434
Koteshwor,84.0153,2,361
Kirtipur,59.9744,3,257
Balaju,32.4808,4,145
Kalimati,29.4118,5,129
Patan,25.9591,6,117
Gongabu,9.9744,7,44
Chabahil,9.2072,8,39
Thamel,5.1151,9,21
New Baneshwor,4.3478,10,20
