zone,score,rank,incident_count
Bouddha,100,1,434
Koteshwor,83.1269,2,361
Kirtipur,60.6376,3,257
Balaju,32.6904,4,145
Kalimati,31.2812,5,129
Patan,25.4822,6,117
Gongabu,10.7939,7,44
Chabahil,10.3838,8,39
Thamel,6.2457,9,21
New Baneshwor,4.9624,10,20
